Player,Squad,Rating,user,player,rating,Nation
Marc Cucurella,Chelsea,2.627627627627628,19,460,2.6276276000000003,es
Lorenzo Tonelli,Sampdoria,2.8994413407821233,84,740,2.8994412,it
Dani Raba,Granada,2.10625,18,926,2.10625,es
Dani Raba,Granada,2.10625,18,926,2.10625,es
Luíz Carlos,Braga,2.704761904761905,22,2709,2.704762,br
Mamadou Sylla,Alavés,1.5694444444444444,0,25,1.5694443999999999,sn
Mamadou Sylla,Alavés,1.5694444444444444,0,25,1.5694443999999999,sn
Dale Stephens,Burnley,2.265060240963856,6,492,2.2650602,en
Óscar Rodríguez Arnaiz,Real Madrid,2.9875,11,897,2.9875,es
Óscar Rodríguez Arnaiz,Real Madrid,2.9875,11,897,2.9875,es
Ezequiel Ponce,Granada,2.20625,18,715,2.20625,ar
Iñigo Pérez,Osasuna,2.56043956043956,88,1707,2.5604396,es
Pierre-Yves Hamel,Clermont Foot,1.628140703517588,38,612,1.6281406999999999,fr
Pierre-Yves Hamel,Clermont Foot,1.628140703517588,38,612,1.6281406999999999,fr
Lucas Vázquez,Real Madrid,3.41875,11,1820,3.41875,es
Calvin Stengs,Nice,2.7653846153846158,29,1661,2.7653847000000003,nl
Jason,Valencia,3.305,9,7,3.305,es
